aircraft,tailnumber,pilot,departure,arrival,distance_nm,duration_min,duration_hhmm,date_dep_form,date_arr_form,dep_lat,dep_lon,arr_lat,arr_lon,ac_icao_type,ac_manufacturer,ac_model,ac_category,ac_is_ga,ac_airline_name
OE-EKA,OE-EKA,jimmy_carrot,LEBG,LPPR,236.0,80,1:20 h,2026-01-10 13:12:00,2026-01-10 14:33:00,42.357601,-3.62076,41.2481002808,-8.68138980865,TBM9,Daher,TBM 960,PASSENGER,Yes,
F-GKXC,F-GKXC,1293211,LFST,LSZB,97.0,46,0:46 h,2026-01-10 12:26:00,2026-01-10 13:13:00,48.53829956054688,7.628230094909668,46.912868,7.498512,A320,Airbus,A320,PASSENGER,No,Air France
OY-KAP,OY-KAP,1929277,EKCH,EVRA,384.0,100,1:40 h,2026-01-10 10:29:00,2026-01-10 12:09:00,55.617900848389,12.656000137329,56.920752,23.970711,A320,Airbus,A320-232,PASSENGER,No,SAS
N548NN,N548NN,Pandonaut,KDFW,KIAH,195.0,72,1:12 h,2026-01-10 06:50:00,2026-01-10 08:03:00,32.896801,-97.038002,29.984399795532227,-95.34140014648438,CRJ9,Bombardier,CRJ-900LR,PASSENGER,No,American Airlines
N691NK,N691NK,Jay6zero,KFLL,KMCO,154.0,67,1:07 h,2026-01-10 06:36:00,2026-01-10 07:43:00,26.072599,-80.152702,28.429399490356445,-81.30899810791016,A320,Airbus,A320,PASSENGER,No,Spirit Airlines
OE-EKA,OE-EKA,jimmy_carrot,LFBT,LEBG,166.0,70,1:10 h,2026-01-10 05:35:00,2026-01-10 06:45:00,43.178699,-0.006439,42.357601,-3.62076,TBM9,Daher,TBM 960,PASSENGER,Yes,
OE-EKA,OE-EKA,jimmy_carrot,LEGE,LFBT,144.0,69,1:09 h,2026-01-10 04:17:00,2026-01-10 05:26:00,41.904639,2.761774,43.178699,-0.006439,TBM9,Daher,TBM 960,PASSENGER,Yes,
N505JB,N505JB,AndyV,MDPC,KBOS,1435.0,279,4:39 h,2026-01-10 00:07:00,2026-01-10 04:46:00,18.5674,-68.363403,42.36197,-71.0079,A320,Airbus,A320,PASSENGER,No,Jetblue
HS-TXB,HS-TXB,alphagolfcharlie,VTBS,WSSS,765.0,158,2:38 h,2026-01-09 20:57:00,2026-01-09 23:36:00,13.6811,100.747002,1.35019,103.994003,A320,Airbus,A320-232,PASSENGER,No,Thai Airways
SX-DVX,SX-DVX,AndyV,LGAV,EDDF,980.0,250,4:10 h,2026-01-09 18:18:00,2026-01-09 22:28:00,37.936401,23.9445,50.030241,8.561096,A320,Airbus,A320-232,PASSENGER,No,Aegean
OE-EKA,OE-EKA,jimmy_carrot,LFMD,LEGE,209.0,87,1:27 h,2026-01-09 17:47:00,2026-01-09 19:15:00,43.547998,6.955176,41.904639,2.761774,TBM9,Daher,TBM 960,PASSENGER,Yes,
N569DZ,N569DZ,Aaron1362041,KMSP,EHAM,3609.0,471,7:51 h,2026-01-09 17:39:00,2026-01-10 01:30:00,44.880081,-93.221741,52.308601,4.76389,A359,Airbus,A350-900,PASSENGER,No,Delta Air Lines
N63899,N63899,109Priority,KLAS,KDEN,545.0,136,2:16 h,2026-01-09 17:28:00,2026-01-09 19:44:00,36.083361,-115.151817,39.861698150635,-104.672996521,B739,Boeing,737-900,PASSENGER,No,United Airlines
N2MK,N2MK,V1RotateAP,KSTL,KSGF,168.0,67,1:07 h,2026-01-09 17:11:00,2026-01-09 18:18:00,38.748697,-90.370003,37.245701,-93.388603,P180,Piaggio,P-180 Avanti,PASSENGER,Yes,
OE-EKA,OE-EKA,jimmy_carrot,LSZA,LFMD,169.0,73,1:13 h,2026-01-09 16:22:00,2026-01-09 17:36:00,46.004299,8.91058,43.547998,6.955176,TBM9,Daher,TBM 960,PASSENGER,Yes,
N77ZE,N77ZE,alchemydc,KAGC,KEAR,868.0,326,5:26 h,2026-01-09 16:09:00,2026-01-09 21:36:00,40.354401,-79.930199,40.727001,-99.006798,PC12,Pilatus,PC-12/45,PASSENGER,Yes,
G-EUYF,G-EUYF,1929277,EGLL,EKCH,528.0,132,2:12 h,2026-01-09 16:09:00,2026-01-09 18:22:00,51.4706,-0.461941,55.617900848389,12.656000137329,A320,Airbus,A320,PASSENGER,No,British Airways
OE-EKA,OE-EKA,jimmy_carrot,LIRZ,LSZA,232.0,86,1:26 h,2026-01-09 14:43:00,2026-01-09 16:09:00,43.095901,12.5132,46.004299,8.91058,TBM9,Daher,TBM 960,PASSENGER,Yes,
A6-EGE,A6-EGE,AndyV,OBBI,OMDB,262.0,82,1:22 h,2026-01-09 14:10:00,2026-01-09 15:32:00,26.267295,50.63764,25.2527999878,55.3643989563,B77W,Boeing,777-300ER,PASSENGER,No,Emirates
OE-EKA,OE-EKA,jimmy_carrot,LDSP,LIRZ,167.0,81,1:21 h,2026-01-09 09:16:00,2026-01-09 10:38:00,43.538898,16.298,43.095901,12.5132,TBM9,Daher,TBM 960,PASSENGER,Yes,
OE-EKA,OE-EKA,jimmy_carrot,LIRA,LDSP,193.0,70,1:10 h,2026-01-09 07:52:00,2026-01-09 09:02:00,41.7994,12.5949,43.538898,16.298,TBM9,Daher,TBM 960,PASSENGER,Yes,
N972UY,N972UY,Jay6zero,KDCA,KJFK,184.0,73,1:13 h,2026-01-09 04:50:00,2026-01-09 06:03:00,38.8521,-77.037697,40.639447,-73.779317,A321,Airbus,A321,PASSENGER,No,American Airlines
N77ZE,N77ZE,alchemydc,KFRG,KAGC,298.0,144,2:24 h,2026-01-08 21:46:00,2026-01-09 00:10:00,40.7288017273,-73.4133987427,40.354401,-79.930199,PC12,Pilatus,PC-12/45,PASSENGER,Yes,
EI-HXA,EI-HXA,AndyV,LFMN,LIRF,248.0,104,1:44 h,2026-01-08 20:58:00,2026-01-08 22:43:00,43.658401,7.21587,41.804532,12.251998,A21N,Airbus,A321-271NX,PASSENGER,No,ITA Airways
EI-HXA,EI-HXA,AndyV,LIRF,LFMN,248.0,80,1:20 h,2026-01-08 18:45:00,2026-01-08 20:05:00,41.804532,12.251998,43.658401,7.21587,A21N,Airbus,A321-271NX,PASSENGER,No,ITA Airways
N505JB,N505JB,Jay6zero,TJSJ,MDPC,134.0,91,1:31 h,2026-01-08 18:29:00,2026-01-08 20:01:00,18.4394,-66.001801,18.5674,-68.363403,A320,Airbus,A320,PASSENGER,No,Jetblue
N375GR,N375GR,V1RotateAP,MKJS,MHRO,510.0,95,1:35 h,2026-01-08 18:25:00,2026-01-08 20:01:00,18.5037,-77.913399,16.316799,-86.523003,C25C,Cessna,525C CitationJet CJ4,PASSENGER,Yes,
